target_icd,rank,prs_icd,auc
J35,4,G47,0.531402437601902
J35,5,F33,0.5292538198221045
J35,6,K80,0.5274346005627916
J35,7,J40,0.5258632959135423
J35,8,M51,0.5234495928314743
J35,9,M47,0.522971700035611
J35,10,F32,0.5213752662506067
J40,1,M51,0.5459614678582307
J40,2,J45,0.5440001621731836
J40,3,M47,0.5421578829538074
J40,4,F32,0.5400847867789156
J40,5,F10,0.5387527638910267
J40,6,M50,0.538191139799583
J40,7,E66,0.5369831745741779
J40,8,G56,0.534787937992024
J40,9,I71,0.5335669131108703
J40,10,O03,0.533236372685946
J42,1,M47,0.56250447807743
J42,2,I71,0.5579781668707939
J42,3,M17,0.5491672379065871
J42,4,M51,0.5483474367206279
J42,5,G56,0.5468587509199765
J42,6,M19,0.5456457327980611
J42,7,I70,0.5433811815899293
J42,8,M50,0.5418738347264608
J42,9,E66,0.5389569516093948
J42,10,J45,0.5377708848596667
J43,1,F10,0.5590367496607991
J43,2,J44,0.5583056416347988
J43,3,F17,0.5528734196213477
J43,4,J43,0.5483294520018417
J43,5,C34,0.5465320042845258
J43,6,F32,0.5459723860598774
J43,7,F33,0.5357123333513378
J43,8,M51,0.5353842357400678
J43,9,I71,0.5345967838352544
J43,10,F41,0.5339753035088597
J44,1,J44,0.5549393242397109
J44,2,F10,0.5441807819303083
J44,3,M51,0.5419425860309038
J44,4,F17,0.5415781395555074
J44,5,E66,0.5388349238857647
J44,6,F32,0.5386205969803043
J44,7,J45,0.5374120755636626
J44,8,I71,0.535642849536017
J44,9,J43,0.5344986611916952
J44,10,M19,0.5339493409233408
J45,1,J45,0.5660619280843228
J45,2,J33,0.5508014069888639
J45,3,J40,0.5228180656516055
J45,4,E66,0.5223750444863031
J45,5,M19,0.5201404716746006
J45,6,M47,0.518349919505953
J45,7,F32,0.517789269555229
J45,8,F33,0.5173702817021391
J45,9,M51,0.5172682503123343
J45,10,M17,0.5167913622542465
J84,1,J84,0.5602519438327906
J84,2,I50,0.5357729605944869
J84,3,F10,0.5290620241700569
J84,4,I70,0.5273284318161315
J84,5,I71,0.5272475622841553
J84,6,F32,0.5267518443609581
J84,7,J44,0.5256804428171868
J84,8,F60,0.5250868471234988
J84,9,M47,0.5249000894674767
J84,10,L40,0.5246961705887296
K35,1,K35,0.5614954111231517
K35,2,I42,0.5118492643587437
K35,3,O26,0.5112585635607707
K35,4,N81,0.5104376033706971
K35,5,S32,0.5101070652564763
K35,6,N43,0.5100773387455642
K35,7,E10,0.5098326229072921
K35,8,I21,0.5089772874475135
K35,9,M47,0.5087570144574198
K35,10,D25,0.5086840708294169
K40,1,K40,0.5964147989890128
K40,2,K43,0.5302688781111435
K40,3,K42,0.5282123746470314
K40,4,K44,0.5272119960319077
K40,5,N81,0.5226826226986694
K40,6,K57,0.5186396783097462
K40,7,L57,0.5134455986861133
K40,8,M47,0.5112961331390902
K40,9,N40,0.5090271451889884
K40,10,E78,0.508971433510751
K42,1,K42,0.5852368107076181
K42,2,K43,0.5523951181015803
K42,3,E66,0.5434603946419478
K42,4,M17,0.5288538080023345
K42,5,E11,0.5281623448074273
K42,6,K80,0.5269984600888021
K42,7,K57,0.5253250799367085
K42,8,I10,0.5253182720872167
K42,9,M19,0.522608725086229
K42,10,K40,0.5212162739310676
K43,1,K43,0.5569529197395833
K43,2,K42,0.5435759165788598
K43,3,E66,0.5356356821939056
K43,4,K40,0.535220236407927
K43,5,K57,0.5327641245356697
K43,6,K44,0.528171015329162
K43,7,M17,0.5271016517879179
K43,8,N81,0.5248574257577867
K43,9,I50,0.5221484781794421
K43,10,J44,0.5220485231589632
K44,1,K44,0.5453678743603003
K44,2,K57,0.5207508665564834
K44,3,E66,0.5185682142002428
